Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS
Date,,,,,,
2015-01-01,757.8304443359375,822.2000122070312,830.0,818.0999755859375,826.5,587479
2015-01-02,761.5632934570312,826.25,830.5,824.0,824.0,710310
2015-01-05,762.024169921875,826.75,830.7000122070312,824.4500122070312,826.0999755859375,792287
2015-01-06,745.2490844726562,808.5499877929688,824.5999755859375,803.7000122070312,823.0,1709888
2015-01-07,746.4012451171875,809.7999877929688,815.2000122070312,800.0,809.0999755859375,1730518
2015-01-08,754.6965942382812,818.7999877929688,821.0,814.4000244140625,815.0,943536
2015-01-09,765.0658569335938,830.0499877929688,836.0,820.0,820.0,1766875
2015-01-12,769.90478515625,835.2999877929688,837.25,830.0999755859375,832.4500122070312,1188646
2015-01-13,767.8770141601562,833.0999755859375,843.4000244140625,826.1500244140625,837.0499877929688,838422
2015-01-14,756.40185546875,820.6500244140625,837.75,817.0,831.0,996066
2015-01-15,761.2407836914062,825.9000244140625,833.9000244140625,819.4000244140625,826.0,2224116
2015-01-16,783.223388671875,849.75,854.4000244140625,826.2000122070312,828.9000244140625,2005202
2015-01-19,795.4362182617188,863.0,866.1500244140625,853.0999755859375,855.0,1382755
2015-01-20,804.0079345703125,872.2999877929688,874.5,854.5,865.0,2053198
2015-01-21,816.5895385742188,885.9500122070312,888.0,873.0,875.0,2358508
2015-01-22,848.019775390625,920.0499877929688,927.3499755859375,885.2999877929688,885.2999877929688,4797782
2015-01-23,854.2412109375,926.7999877929688,938.7000122070312,918.0,921.5,2835629
2015-01-27,842.4435424804688,914.0,939.9500122070312,901.0,939.9000244140625,2261868
2015-01-28,838.5260620117188,909.75,933.0999755859375,892.0,915.0,1939863
2015-01-29,847.7892456054688,919.7999877929688,933.0,891.0,900.0,2668139
2015-01-30,845.8998413085938,917.75,927.7999877929688,910.5,923.5,1873464
2015-02-02,856.3612060546875,929.0999755859375,943.5499877929688,922.0,925.0,1750030
2015-02-03,867.5599365234375,941.25,947.6500244140625,919.0499877929688,936.0,2275229
2015-02-04,883.8743896484375,958.9500122070312,965.9500122070312,946.0,947.5,2769365
2015-02-05,884.4273681640625,959.5499877929688,965.9000244140625,951.0,960.0,1850360
2015-02-06,854.2874145507812,926.8499755859375,962.9000244140625,920.25,958.75,3120503
2015-02-09,867.744384765625,941.4500122070312,948.2000122070312,915.8499755859375,926.7999877929688,1350099
2015-02-10,847.5588989257812,919.5499877929688,942.0,911.0,942.0,1515424
2015-02-11,853.3655395507812,925.8499755859375,937.0,920.2000122070312,924.7999877929688,1046438
2015-02-12,851.2918090820312,923.5999755859375,932.2000122070312,919.0,929.6500244140625,778562
2015-02-13,866.9147338867188,940.5499877929688,952.0,928.0,928.0,2046667
2015-02-16,843.1347045898438,914.75,930.9000244140625,907.2999877929688,918.0,2869370
2015-02-18,845.9458618164062,917.7999877929688,927.5,911.75,919.9000244140625,1309654
2015-02-19,844.9320068359375,916.7000122070312,926.7999877929688,909.5499877929688,922.7000122070312,1190354
2015-02-20,841.7060546875,913.2000122070312,921.5999755859375,910.0,914.7999877929688,1146633
2015-02-23,837.5121459960938,908.6500244140625,924.0,904.25,914.0,2440626
2015-02-24,839.1712646484375,910.4500122070312,913.9000244140625,905.0,907.0,1469026
2015-02-25,821.0137329101562,890.75,914.6500244140625,886.4000244140625,913.5,1407691
2015-02-26,797.9247436523438,865.7000122070312,894.25,860.2000122070312,890.0999755859375,2614022
2015-02-27,810.09130859375,878.9000244140625,883.9000244140625,868.5499877929688,870.1500244140625,2160310
2015-03-02,852.7664794921875,925.2000122070312,932.0,909.4000244140625,912.0999755859375,2019863
2015-03-03,869.2190551757812,943.0499877929688,951.4000244140625,933.0999755859375,937.4500122070312,2114707
2015-03-04,927.5172119140625,1006.2999877929688,1035.949951171875,937.7999877929688,946.9000244140625,7567230
2015-03-05,957.4268188476562,1038.75,1045.949951171875,1005.5,1018.0,3792463
2015-03-09,959.5005493164062,1041.0,1049.9000244140625,1008.0,1024.3499755859375,3154190
2015-03-10,944.4307250976562,1024.6500244140625,1055.5,1017.75,1046.0,2094814
2015-03-11,930.7893676757812,1009.8499755859375,1035.4000244140625,1007.0499877929688,1029.4000244140625,1845619
2015-03-12,955.0304565429688,1036.1500244140625,1039.800048828125,1010.0,1012.6500244140625,1990646
2015-03-13,932.4022827148438,1011.5999755859375,1044.699951171875,1006.5499877929688,1044.699951171875,1499576
2015-03-16,949.2236938476562,1029.8499755859375,1032.9000244140625,1010.1500244140625,1014.0999755859375,1445672
2015-03-17,960.3302612304688,1041.9000244140625,1051.0,1026.1500244140625,1033.0,1818956
2015-03-18,962.7266845703125,1044.5,1048.0,1031.0,1043.4000244140625,1489193
2015-03-19,965.7221069335938,1047.75,1075.0,1036.199951171875,1050.0,2661474
2015-03-20,946.2740478515625,1026.6500244140625,1074.5,1021.2999877929688,1050.0,2371025
2015-03-23,944.0620727539062,1024.25,1045.949951171875,1013.4000244140625,1036.9000244140625,1972135
2015-03-24,955.951904296875,1037.1500244140625,1049.800048828125,1030.0,1034.0,2573597
2015-03-25,969.685546875,1052.050048828125,1067.800048828125,1042.0999755859375,1058.0,4242685
2015-03-26,947.241943359375,1027.699951171875,1053.0,1020.0,1052.800048828125,2974909
2015-03-27,932.0336303710938,1011.2000122070312,1041.550048828125,1002.0999755859375,1036.9000244140625,1999967
2015-03-30,931.6648559570312,1010.7999877929688,1025.75,1009.0,1021.1500244140625,1613058
2015-03-31,943.7393798828125,1023.9000244140625,1033.25,1010.3499755859375,1015.0,1939047
2015-04-01,996.50732421875,1081.1500244140625,1094.0,1018.9500122070312,1023.9000244140625,4104961
2015-04-06,1077.756103515625,1169.300048828125,1181.0,1090.0,1102.699951171875,4805720
2015-04-07,1061.856689453125,1152.050048828125,1200.800048828125,1135.75,1180.0,3978093
2015-04-08,1060.3819580078125,1150.449951171875,1173.300048828125,1137.050048828125,1161.3499755859375,2732857
2015-04-09,1026.2783203125,1113.449951171875,1162.300048828125,1106.0,1159.9000244140625,3143647
2015-04-10,1032.0850830078125,1119.75,1128.5999755859375,1098.3499755859375,1113.0,2880186
2015-04-13,1060.8426513671875,1150.949951171875,1157.9000244140625,1112.699951171875,1120.0999755859375,2036205
2015-04-15,1029.8272705078125,1117.300048828125,1161.4000244140625,1112.3499755859375,1161.4000244140625,3103257
2015-04-16,1002.7748413085938,1087.949951171875,1127.25,1082.5,1122.199951171875,2725037
2015-04-17,956.5050659179688,1037.75,1105.199951171875,1028.75,1090.0,3749872
2015-04-20,962.0816040039062,1043.800048828125,1066.9000244140625,1037.800048828125,1048.0,2941375
2015-04-21,877.65283203125,952.2000122070312,974.25,930.0,951.0,265709391
2015-04-22,892.0313720703125,967.7999877929688,978.9000244140625,948.0,963.0,10905987
2015-04-23,868.2512817382812,942.0,980.7999877929688,936.0,980.0,9450660
2015-04-24,873.2286376953125,947.4000244140625,956.0,938.25,946.0,10416821
2015-04-27,853.8726806640625,926.4000244140625,957.2999877929688,921.8499755859375,951.5,7641311
2015-04-28,852.4439086914062,924.8499755859375,934.2000122070312,912.25,922.0,5553353
2015-04-29,866.8687744140625,940.5,947.0,929.0,934.2000122070312,7229944
2015-04-30,865.3478393554688,938.8499755859375,943.9000244140625,921.0,926.0,16367861
2015-05-04,873.5511474609375,947.75,957.25,942.0499877929688,949.0,7780934
2015-05-05,883.4133911132812,958.4500122070312,960.0,950.0499877929688,954.9000244140625,4329997
